,ImageFiles,Show Attend And Tell,Decoupled Novel Object Captioner,Novel Object Captioner,YOLO9000,SAT_YOLO9000_SF,DNOC_YOLO9000_SF,NOC_YOLO9000_SF,SAT_WC,DNOC_WC,NOC_WC,SAT_simil,NOC_simil,DNOC_simil,YOLO_WC,ssd_512_resnet50_v1_voc,ssd_voc,ssd_512_resnet50_v1_coco,ssd_coco,yolo3_darknet53_coco,yolo3_coco,center_net_resnet18_v1b_coco,center_coco,center_net_resnet18_v1b_voc,center_voc,yolo3_darknet53_voc,yolo3_voc,SAT_SSD_VOC_SF,SAT_SSD_COCO_SF,NOC_SSD_VOC_SF,NOC_SSD_COCO_SF,DNOC_SSD_VOC_SF,DNOC_SSD_COCO_SF,SAT_yolo3_VOC_SF,SAT_yolo3_COCO_SF,NOC_yolo3_VOC_SF,NOC_yolo3_COCO_SF,DNOC_yolo3_VOC_SF,DNOC_yolo3_COCO_SF,SAT_center_net_VOC_SF,SAT_center_net_COCO_SF,NOC_center_net_VOC_SF,NOC_center_net_COCO_SF,DNOC_center_net_VOC_SF,DNOC_center_net_COCO_SF,MRCNN,sat_un_count,dnoc_un_count,noc_un_count,mrcnn_un_count,SF_SAT_MRCNN,SF_DNOC_MRCNN,SF_NOC_MRCNN
10,b00000036_21i57n_20150508_081731e.jpg,"['view', 'room', 'window']","['train', 'room', 'tv']","['room', 'tv', 'wall']",['computer screen'],0.5827,0.51518,0.57223,3,3,3,0.5827,0.51518,0.57223,1,[],0,[],0,['tv'],1,[],0,[],0,['car'],1,0,0,0,0,0,0,0.39442,0.3262,0.39355,0.71441,0.4972,0.7016,0,0,0,0,0,0,['mouse'],3,3,3,1,0.70224,0.63456,0.675
11,b00000037_21i57n_20150517_214020e.jpg,"['table', 'wine']","['man', 'table', 'wine', 'glass']","['woman', 'table', 'glass']","['panelist', ' magnum', ' wineglass', ' wineglass', ' pepperoni pizza', ' cereal bowl', ' cereal bowl', ' cereal bowl']",0.13249,0.28185,0.18224,2,4,3,0.52997,0.5637,0.48599,8,"['person', 'bottle', 'pottedplant']",3,"['person', 'bottle', 'wine glass', 'wine glass', 'microwave', 'bowl', 'wine glass', 'bowl']",8,"['person', 'bottle', 'wine glass', 'microwave', 'wine glass', 'wine glass', 'knife', 'bowl']",8,"['person', 'bottle', 'bowl', 'tv']",4,"['bottle', 'person']",2,"['person', 'bottle']",2,0.39215,0.20191,0.65163,0.28887,0.70304,0.44543,0.58822,0.20379,0.65163,0.29435,0.70304,0.45264,0.58822,0.31742,0.65163,0.52319,0.70304,0.73703,"['wine glass', 'person', 'bottle', 'person', 'microwave', 'bowl', 'bowl', 'dining table', 'bottle', 'bowl', 'wine glass', 'bowl', 'oven']",2,4,3,7,0.18462,0.52984,0.36694
12,b00000037_21i57n_20150524_164617e.jpg,"['woman', 'front', 'window']","['woman', 'front', 'store', 'cake']","['woman', 'shirt', 'shirt', 'photo']",['bartender'],0.30079,0.36059,0.31734,3,4,4,0.30079,0.36059,0.31734,1,['person'],1,['person'],1,['person'],1,['person'],1,[],0,['person'],1,0.49299,0.49299,0.40994,0.40994,0.50731,0.50731,0.49299,0.49299,0.40994,0.40994,0.50731,0.50731,0,0.49299,0,0.40994,0,0.50731,"['person', 'cake', 'cup']",3,4,3,3,0.47474,0.78356,0.52708
13,b00000039_21i57n_20150524_164734e.jpg,"['person', 'piece', 'cake', 'front', 'window']","['woman', 'cup', 'hand']","['man', 'wii', 'game']","['toothbrush', ' tablefork', ' taster', ' lass']",0.26486,0.30538,0.17279,5,3,3,0.26486,0.40717,0.23039,4,['person'],1,['person'],1,"['person', 'cup']",2,"['person', 'person']",2,"['person', 'person', 'person', 'person', 'person']",5,"['person', 'chair']",2,0.6336,0.6336,0.4171,0.4171,0.50626,0.50626,0.68095,0.67556,0.40818,0.44224,0.57485,0.83396,0.6336,0.6336,0.25026,0.4171,0.30376,0.50626,"['person', 'person', 'person', 'chair', 'chair', 'handbag']",5,3,3,3,0.78266,0.59743,0.38549
14,b00000041_21i57n_20150517_214206e.jpg,"['table', 'wine']","['man', 'woman', 'table']","['woman', 'table', 'wine']","['drunkard', ' Erlenmeyer flask', ' magnum', ' wineglass', ' cereal bowl', ' cereal bowl', ' settler']",0.13514,0.14228,0.19604,2,3,3,0.47299,0.33199,0.45742,7,"['person', 'person', 'bottle']",3,"['person', 'person', 'wine glass', 'bottle', 'bowl', 'wine glass', 'wine glass', 'bowl', 'dining table', 'dining table']",10,"['person', 'bottle', 'wine glass', 'wine glass', 'bowl', 'person', 'bowl', 'wine glass']",8,"['wine glass', 'person', 'bottle', 'bowl']",4,"['person', 'bottle']",2,"['person', 'bottle', 'person', 'diningtable']",4,0.34742,0.17858,0.65692,0.25634,0.64207,0.18247,0.26056,0.20421,0.49269,0.30069,0.48155,0.20678,0.58822,0.39479,0.68496,0.59037,0.604,0.41964,"['person', 'bottle', 'wine glass', 'person', 'wine glass', 'bowl', 'wine glass', 'bowl', 'bowl', 'cell phone', 'dining table', 'bowl']",2,3,3,6,0.22822,0.27606,0.43825
15,b00000046_21i57n_20150526_085328e.jpg,"['view', 'room', 'refrigerator']","['suitcase', 'table', 'room']","['train', 'steel', 'track']",['pot'],0.36295,0.39991,0.26618,3,3,3,0.36295,0.39991,0.26618,1,[],0,['chair'],1,['tv'],1,[],0,[],0,[],0,0,0.43979,0,0.29992,0,0.61047,0,0.38081,0,0.1872,0,0.31007,0,0,0,0,0,0,"['potted plant', 'chair', 'vase', 'refrigerator', 'refrigerator']",3,3,3,4,0.60615,0.6193,0.21363
16,b00000047_21i57n_20150517_214452e.jpg,"['group', 'video', 'game']","['group', 'table']","['man', 'room', 'remote', 'hand']","['interlocutor', ' vintner', ' hairdresser']",−0.0704,0.04238,0.17438,3,2,4,−0.0704,0.06357,0.17438,3,"['person', 'person', 'person']",3,"['person', 'person', 'person', 'cup', 'laptop']",5,"['person', 'person', 'cup', 'person', 'wine glass']",5,"['person', 'person']",2,"['person', 'person', 'person']",3,"['person', 'person', 'person']",3,0.38039,0.26166,0.58797,0.53461,0.26508,0.18073,0.38039,0.2437,0.58797,0.5305,0.26508,0.20671,0.38039,0.38039,0.58797,0.58797,0.26508,0.39762,"['person', 'person', 'person', 'cup', 'dining table', 'chair', 'wine glass', 'person', 'tv', 'person', 'person', 'cup']",3,2,4,6,0.1436,0.12324,0.46749
17,b00000050_21i57n_20150524_165440e.jpg,"['group', 'street']","['city', 'street', 'lot']","['group', 'street']",['onlooker'],0.06359,0.07543,0.06359,2,3,2,0.06359,0.07543,0.06359,1,"['person', 'person', 'bird']",3,"['person', 'person', 'person', 'person', 'motorcycle', 'person', 'person', 'person']",8,"['person', 'person', 'person', 'person', 'person', 'person', 'person']",7,"['person', 'person', 'person', 'person']",4,['person'],1,"['person', 'person', 'person', 'person', 'person', 'person']",6,0.29695,0.11358,0.29695,0.11358,0.45905,0.17239,0.13837,0.11861,0.13837,0.11861,0.21009,0.18007,0.41512,0.20756,0.41512,0.20756,0.42017,0.31513,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'chair', 'person', 'chair', 'chair', 'person', 'person', 'person', 'person', 'person', 'person', 'chair', 'chair', 'person', 'person']",2,3,2,2,0.40566,0.5381,0.40566
18,b00000051_21i57n_20150524_165513e.jpg,"['group', 'table', 'food']","['group', 'table', 'food']","['woman', 'dog', 'city']","['vintner', ' teacup', ' grandfather', ' thermos', ' drunkard']",0.1291,0.1291,0.20554,3,3,3,0.21517,0.21517,0.34256,5,"['person', 'person', 'person']",3,"['person', 'person', 'person', 'cup', 'person']",5,"['person', 'person', 'cup', 'person', 'person']",5,"['person', 'person', 'cup', 'person']",4,['person'],1,"['person', 'person', 'person', 'person']",4,0.43267,0.29849,0.54611,0.34254,0.43267,0.29849,0.3245,0.29849,0.40958,0.34254,0.3245,0.29849,0.43267,0.3816,0.54611,0.42711,0.43267,0.3816,"['person', 'person', 'person', 'person', 'cup', 'car', 'person', 'person']",3,3,3,3,0.51753,0.51753,0.60615
19,b00000063_21i57n_20150517_215236e.jpg,"['group', 'table', 'food']","['man', 'table', 'wine', 'glass']","['man', 'table', 'plate', 'food']","['taster', ' wineglass', ' fishmonger', ' taster', ' hotdog', ' furnishing']",0.12306,0.26494,0.21563,3,4,4,0.24612,0.3974,0.32344,6,"['person', 'person', 'person']",3,"['person', 'wine glass', 'person', 'person', 'wine glass', 'cup', 'wine glass', 'dining table']",8,"['person', 'wine glass', 'person', 'wine glass']",4,"['person', 'person', 'wine glass', 'wine glass']",4,"['person', 'person']",2,"['person', 'person']",2,0.43267,0.25639,0.49032,0.3839,0.43713,0.46889,0.43267,0.45271,0.49032,0.70065,0.43713,0.90969,0.43267,0.45271,0.49032,0.70065,0.43713,0.90969,"['person', 'person', 'person', 'wine glass', 'wine glass', 'dining table', 'cup']",3,4,4,4,0.30361,0.64253,0.547
20,b00000066_21i57n_20150517_215355e.jpg,"['group', 'table', 'cake']","['man', 'table', 'plate', 'food']","['group', 'table', 'food']","['employer', ' employer', ' vintner', ' wineglass', ' wineglass', ' manageress', ' pepperoni pizza', ' laptop', ' dinner table']",0.18526,0.26277,0.17712,3,4,3,0.55579,0.59123,0.53135,9,"['person', 'person', 'person']",3,"['wine glass', 'person', 'person', 'wine glass', 'person', 'cup', 'pizza', 'bottle']",8,"['person', 'wine glass', 'wine glass', 'person', 'wine glass', 'cup', 'pizza', 'person', 'dining table']",9,"['person', 'wine glass', 'pizza', 'person']",4,"['person', 'diningtable', 'diningtable', 'diningtable', 'diningtable', 'person', 'diningtable', 'diningtable', 'diningtable']",9,"['person', 'person', 'person']",3,0.4111,0.24117,0.43267,0.23663,0.49032,0.37497,0.4111,0.23407,0.43267,0.23317,0.49032,0.34994,0.13703,0.49104,0.14422,0.49422,0.21792,0.76093,"['person', 'person', 'wine glass', 'cup', 'dining table', 'person', 'wine glass', 'wine glass', 'knife', 'knife', 'donut', 'chair']",3,4,3,7,0.34395,0.53312,0.22549
21,b00000067_21i57n_20150517_215422e.jpg,"['man', 'table', 'cake']","['man', 'table', 'plate', 'food']","['group', 'table', 'food']","['drunkard', ' panelist', ' songster', ' remote control', ' dinner table']",0.35777,0.49375,0.37002,3,4,3,0.59628,0.61718,0.61669,5,"['person', 'diningtable', 'person', 'person']",4,"['person', 'person', 'cup', 'person', 'dining table']",5,"['person', 'person', 'bottle', 'person', 'pizza', 'fork', 'cup', 'dining table', 'knife']",9,['person'],1,"['person', 'diningtable', 'diningtable', 'diningtable', 'diningtable']",5,"['person', 'person', 'person', 'diningtable']",4,0.36894,0.44762,0.3245,0.42532,0.49032,0.60885,0.36894,0.26556,0.3245,0.23709,0.49032,0.36849,0.29516,0.49193,0.2596,0.43267,0.39226,0.49032,"['person', 'person', 'dining table', 'person', 'bottle', 'knife', 'cup', 'knife', 'clock', 'remote', 'knife']",3,4,3,7,0.40129,0.54771,0.25603
22,b00000070_21i57n_20150517_215548e.jpg,"['man', 'table', 'plate', 'food']","['man', 'table', 'bottle']","['man', 'table', 'plate', 'food']","['panelist', ' vintner', ' stopcock']",0.03348,0.09143,0.03348,4,3,4,0.03348,0.09143,0.03348,3,"['person', 'person']",2,"['person', 'person', 'dining table', 'cup']",4,"['person', 'person']",2,"['person', 'person']",2,"['person', 'diningtable']",2,['diningtable'],1,0.49032,0.79024,0.49032,0.79024,0.49977,0.57556,0,0.49032,0,0.49032,0,0.49977,0.49032,0.49032,0.49032,0.49032,0.49977,0.49977,"['person', 'person', 'dining table', 'bottle', 'knife', 'knife']",4,3,4,4,0.67536,0.74452,0.67536
23,b00000072_21i57n_20150517_215646e.jpg,"['group', 'table']","['man', 'table', 'wine', 'glass']","['man', 'table', 'bowl', 'food']","['vintner', ' panelist', ' wineglass', ' drunkard', ' stopcock', ' dinner table']",0.12129,0.38261,0.30162,2,4,4,0.36387,0.57392,0.45243,6,"['person', 'person', 'person', 'bottle']",4,"['person', 'person', 'bottle', 'wine glass', 'wine glass', 'person']",6,"['bottle', 'wine glass', 'person', 'wine glass', 'person']",5,"['person', 'bottle']",2,"['person', 'bottle']",2,"['person', 'bottle', 'person', 'person']",4,0.21426,0.16633,0.56792,0.46543,0.5962,0.59199,0.21426,0.19351,0.56792,0.55405,0.5962,0.72537,0.40688,0.40688,0.61396,0.61396,0.70304,0.70304,"['person', 'bottle', 'person', 'wine glass', 'person', 'dining table', 'wine glass', 'wine glass', 'knife', 'person', 'cup']",2,4,4,6,0.05804,0.64359,0.56635
24,b00000077_21i57n_20150517_215924e.jpg,"['group', 'table']","['man', 'table', 'bowl']","['man', 'table', 'plate', 'food']","['panelist', ' vintner', ' wineglass', ' taster', ' furnishing']",0.07485,0.13154,0.17133,2,3,4,0.18713,0.21923,0.21416,5,"['person', 'person', 'person', 'bottle']",4,"['person', 'wine glass', 'person', 'person', 'dining table', 'person', 'bottle', 'cup']",8,"['person', 'wine glass', 'person', 'wine glass', 'wine glass', 'cup', 'person', 'person']",8,"['person', 'person', 'person', 'bottle', 'wine glass']",5,"['person', 'person', 'bottle', 'person']",4,"['person', 'person', 'person', 'bottle', 'diningtable']",5,0.21426,0.15268,0.58295,0.39062,0.41165,0.28563,0.17141,0.12927,0.46636,0.36088,0.32932,0.26042,0.21426,0.19795,0.58295,0.55151,0.41165,0.39002,"['person', 'person', 'person', 'wine glass', 'dining table', 'bottle', 'wine glass', 'remote']",2,3,4,5,0.09448,0.37094,0.47566
25,b00000078_21i57n_20150517_215953e.jpg,"['man', 'table', 'laptop']","['man', 'table', 'person']","['child', 'room', 'window']","['employer', ' vintner', ' furnishing']",0.25326,0.38616,0.31627,3,3,3,0.25326,0.38616,0.31627,3,"['person', 'bottle', 'person', 'person']",4,"['person', 'person', 'bottle']",3,"['person', 'person', 'bottle']",3,['person'],1,"['person', 'bottle']",2,"['person', 'bottle', 'person']",3,0.41659,0.55968,0.44116,0.59132,0.61445,0.80139,0.55968,0.55968,0.59132,0.59132,0.80139,0.80139,0.54039,0.50439,0.56813,0.53765,0.72485,0.80516,"['person', 'person', 'bottle', 'wine glass', 'dining table']",3,3,3,4,0.33373,0.49495,0.35728
26,b00000079_21i57n_20150517_220022e.jpg,"['group', 'table']","['man', 'woman', 'table', 'food']","['man', 'table', 'plate', 'food']","['panelist', ' laptop', ' seller', ' wineglass', ' clutch bag', ' dinner table']",0.17632,0.39021,0.44397,2,4,4,0.52895,0.58531,0.66596,6,"['person', 'person', 'diningtable', 'bottle', 'sofa']",5,"['wine glass', 'person', 'bottle', 'person', 'dining table', 'person', 'person']",7,"['person', 'wine glass', 'bottle', 'wine glass', 'cup']",5,"['person', 'wine glass']",2,"['person', 'person', 'diningtable', 'bottle']",4,"['person', 'diningtable', 'bottle', 'person']",4,0.20602,0.17622,0.52245,0.43733,0.56239,0.43985,0.21422,0.1822,0.60277,0.54629,0.66549,0.48723,0.21422,0.50722,0.60277,0.70065,0.66549,0.66791,"['person', 'bottle', 'person', 'dining table', 'wine glass', 'wine glass', 'bottle', 'cup', 'person', 'spoon']",2,4,4,6,0.04585,0.40197,0.4791
27,b00000081_21i57n_20150517_220139e.jpg,"['man', 'table', 'laptop']","['man', 'table', 'dining', 'table']","['man', 'table', 'plate', 'food']","['Japanese', ' taster', ' soupspoon', ' dessert spoon', ' stopcock']",0.17948,0.33237,0.43479,3,4,4,0.29913,0.41546,0.54349,5,"['person', 'person']",2,"['person', 'person', 'bottle', 'spoon']",4,"['person', 'person']",2,"['person', 'bottle']",2,['person'],1,"['person', 'person']",2,0.50439,0.42093,0.49032,0.67382,0.43555,0.55247,0.50439,0.50439,0.49032,0.49032,0.43555,0.43555,0.50439,0.54039,0.49032,0.6132,0.43555,0.50884,"['person', 'person', 'bottle', 'dining table', 'wine glass']",3,3,4,4,0.33373,0.35036,0.51895
28,b00000085_21i57n_20150517_220323e.jpg,"['man', 'table', 'laptop']","['man', 'table', 'wine', 'glass']","['man', 'kitchen', 'bowl', 'food']","['director', ' wineglass', ' wineglass', ' hairdresser']",0.14218,0.41321,0.26563,3,4,4,0.18958,0.41321,0.26563,4,"['person', 'person']",2,"['wine glass', 'person', 'person', 'wine glass', 'bottle']",5,"['wine glass', 'wine glass', 'wine glass', 'person', 'person', 'bottle']",6,"['person', 'wine glass', 'person']",3,"['person', 'bottle']",2,"['person', 'person', 'bottle']",3,0.50439,0.33495,0.42585,0.53829,0.43713,0.72537,0.55968,0.26867,0.55365,0.44474,0.64182,0.61048,0.54039,0.6025,0.57769,0.66102,0.70304,0.84709,"['person', 'wine glass', 'person', 'wine glass', 'bottle', 'wine glass', 'potted plant', 'cup', 'dining table']",3,4,4,6,0.21191,0.61329,0.45517
29,b00000089_21i57n_20150517_220515e.jpg,"['group', 'table']","['man', 'food', 'kitchen']","['man', 'kitchen', 'cake', 'background']","['remote control', ' wineglass', ' vintner', ' vintner', ' keyboardist', ' furnishing']",0.0982,0.16806,0.22,2,3,4,0.29459,0.33612,0.33,6,"['person', 'person', 'person', 'person']",4,"['person', 'person', 'wine glass', 'wine glass', 'person', 'bottle', 'person', 'keyboard']",8,"['person', 'bottle', 'wine glass', 'wine glass', 'person', 'person', 'cup']",7,"['person', 'wine glass']",2,"['person', 'person']",2,"['person', 'person', 'person', 'person', 'diningtable']",5,0.19881,0.13034,0.48341,0.33518,0.35503,0.24405,0.15905,0.14248,0.38673,0.37873,0.28403,0.27885,0.39762,0.50722,0.48341,0.65736,0.47338,0.64709,"['wine glass', 'person', 'wine glass', 'person', 'person', 'dining table', 'bottle', 'pizza', 'cup', 'person']",2,3,4,6,0.06046,0.35565,0.4877
