,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Images,Captions,Objects,HSF,SF_1,SF_2,SF_3,SF_4,SF_5,SF_6,SF_7,SF_8,SF_9,SF_10,SF_11,SF_12,SF_13,SF_14,SF_15,SF_16,SF_17,SF_18,SF_19,SF_20
16,16,16,16,17.jpg,a red tour bus readies itself for departure',"['bus','people','road']",1,0.71551,0.91972,0.88468,0.17888,0.26189,1,1,1,0.25,0.36603,0.71551,0.17888,0.26189,0.35775,0.63212,0.45229,0.51106,0.28449,0.82112,0.73811
17,17,17,17,18.jpg,large group of people waiting for a train.',"['people','bus stop','trees']",0.66667,0.49264,0.83778,0.77172,0.12316,0.18032,0.85442,0.96143,0.94404,0.21361,0.31274,0.41584,0.10396,0.15221,0.2495,0.57447,0.30351,0.34021,0.26996,0.81749,0.73279
18,18,18,18,19.jpg,a young man flipping a skateboard through the air.',"['men','skateboard','road']",1,0.74832,0.93008,0.89932,0.18708,0.2739,1,1,1,0.25,0.36603,0.74832,0.18708,0.2739,0.37416,0.63212,0.47303,0.52684,0.25168,0.81292,0.7261
19,19,19,19,20.jpg,the small car is towing a large airplane.',"['aeroplanes','car','road']",0.66667,0.771,0.93705,0.9092,0.19275,0.28221,0.94385,0.98566,0.97907,0.23596,0.34547,0.56055,0.14014,0.20517,0.33633,0.61087,0.40913,0.4291,0.10916,0.77729,0.67393
20,20,20,20,21.jpg,a group of people sitting around a restaurant table.',"['people','table','glasses']",1,0.66606,0.9034,0.86179,0.16651,0.24379,1,1,1,0.25,0.36603,0.66606,0.16651,0.24379,0.33303,0.63212,0.42103,0.48627,0.33394,0.83349,0.75621
21,21,21,21,22.jpg,a baseball player swinging a bat on top of a field.',"['players','bat','ball','trees','ground']",1,0.80888,0.96527,0.93656,0.13481,0.24996,1,1,1,0.16667,0.30902,0.80888,0.13481,0.24996,0.40444,0.63212,0.51131,0.55464,0.19112,0.86519,0.75004
22,22,22,22,23.jpg,a girl jumps a horse over an obstacle.',"['girl','horse','ground']",1,0.88615,0.97024,0.95672,0.22154,0.32435,1,1,1,0.25,0.36603,0.88615,0.22154,0.32435,0.44308,0.63212,0.56016,0.58776,0.11385,0.77846,0.67565
23,23,23,23,24.jpg,a woman walking with a birthday cake in her hands.',"['women','cake']",1,0.88153,0.95884,0.94911,0.29384,0.36514,1,1,1,0.33333,0.41421,0.88153,0.29384,0.36514,0.44077,0.63212,0.55724,0.58585,0.11847,0.70616,0.63486
24,24,24,24,25.jpg,a pizza sitting on top of a metal pan.',"['pizza','plates','glass','drink','table','mobile']",0.66667,0.62443,0.93494,0.87239,0.0892,0.18102,0.90064,0.98516,0.97012,0.12866,0.26109,0.48704,0.06958,0.14119,0.29223,0.59369,0.35548,0.38556,0.18884,0.88412,0.76485
25,25,25,25,26.jpg,the train is going down the tracks by the church.',"['train','builiding','road','forest']",0.5,0.42987,0.84463,0.75471,0.08597,0.14329,0.80972,0.95866,0.93206,0.16194,0.26991,0.32782,0.06556,0.10927,0.21855,0.55502,0.25798,0.27951,0.19028,0.83806,0.73009
26,26,26,26,27.jpg,a boy posing in front of a large pizza.',"['boy','pizza']",1,0.85115,0.96828,0.9477,0.17023,0.28372,1,1,1,0.2,0.33333,0.85115,0.17023,0.28372,0.42558,0.63212,0.53803,0.57308,0.14885,0.82977,0.71628
27,27,27,27,28.jpg,a man taking a sip of red wine from a glass',"['man','glass','wine','sip']",1,1,1,1,0.2,0.33333,1,1,1,0.2,0.33333,1,0.2,0.33333,0.5,0.63212,0.63212,0.63212,−8E−08,0.8,0.66667
28,28,28,28,29.jpg,two women sitting on a bench at a park.',"['women','bench','road']",0.66667,0.59821,0.87946,0.82856,0.14955,0.21896,0.8921,0.97186,0.95907,0.22302,0.32653,0.47331,0.11833,0.17324,0.28399,0.5902,0.34546,0.37706,0.20416,0.80104,0.7087
29,29,29,29,30.jpg,people are skiing together up a snowy hill.',"['people','ski','snowy']",0.66667,0.65546,0.89978,0.85674,0.16387,0.23992,0.9104,0.97681,0.96622,0.2276,0.33323,0.50304,0.12576,0.18413,0.30183,0.59764,0.36716,0.39531,0.17117,0.79279,0.69663
30,30,30,30,31.jpg,there is a small vintage train on the tracks',"['train','trees','track']",0.66667,0.5096,0.8449,0.78133,0.1274,0.18652,0.86087,0.96324,0.94664,0.21522,0.3151,0.42533,0.10633,0.15568,0.2552,0.57721,0.31044,0.34645,0.2589,0.81472,0.72874
31,31,31,31,32.jpg,a boy on a skateboard skating on a half pipe',"['boy','skateboard','surface','pipe']",1,0.90189,0.97956,0.96616,0.18038,0.30063,1,1,1,0.2,0.33333,0.90189,0.18038,0.30063,0.45094,0.63212,0.5701,0.5942,0.09811,0.81962,0.69937
32,32,32,32,33.jpg,a few people standing in sand flying a kite.',"['kite','people','ground']",0.66667,0.6286,0.89042,0.84372,0.15715,0.23008,0.90197,0.97454,0.96294,0.22549,0.33015,0.4892,0.1223,0.17906,0.29352,0.59423,0.35706,0.38689,0.18644,0.79661,0.70222
33,33,33,33,34.jpg,a man surfing in a big blue ocean',"['man','board','ocean']",1,0.85761,0.96233,0.94533,0.2144,0.31391,1,1,1,0.25,0.36603,0.85761,0.2144,0.31391,0.42881,0.63212,0.54212,0.57583,0.14239,0.7856,0.68609
34,34,34,34,35.jpg,one man looks at the camera while another looks away',"['men','tie','sofa','plant']",0.5,0.26597,0.7673,0.6431,0.05319,0.08866,0.71814,0.93593,0.89551,0.14363,0.23938,0.25786,0.05157,0.08595,0.17191,0.51234,0.20292,0.2273,0.28186,0.85637,0.76062
35,35,35,35,36.jpg,a group of people that are posing for a picture',"['people','house','trees','bench']",0.5,0.2362,0.7493,0.61815,0.04724,0.07873,0.69714,0.93039,0.88669,0.13943,0.23238,0.243,0.0486,0.081,0.162,0.50199,0.19123,0.21573,0.30286,0.86057,0.76762
36,36,36,36,37.jpg,a group of men on a field playing baseball.',"['players','ground','ball']",1,0.61546,0.88573,0.83723,0.15387,0.22528,1,1,1,0.25,0.36603,0.61546,0.15387,0.22528,0.30773,0.63212,0.38905,0.45961,0.38454,0.84613,0.77472
37,37,37,37,38.jpg,a little boy plays with a racket and ball.',"['boy','racket','sea','sand','ball','people']",0.5,0.66261,0.9429,0.88753,0.09466,0.19209,0.90223,0.98541,0.97061,0.12889,0.26155,0.40701,0.05814,0.11799,0.27134,0.59433,0.32029,0.33436,0.09777,0.87111,0.73845
38,38,38,38,39.jpg,a man laying on a bed next to a remote.',"['man','remote','bed']",0.66667,0.82375,0.95268,0.93149,0.20594,0.30151,0.95783,0.98929,0.98435,0.23946,0.35059,0.58583,0.14646,0.21443,0.3515,0.61627,0.42758,0.44336,0.08257,0.77064,0.6642
39,39,39,39,40.jpg,a man is looking at himself in a mirror.',"['man','mirror','brush','tree','boy']",0.4,0.67872,0.93745,0.88713,0.11312,0.20974,0.91118,0.98462,0.97167,0.15186,0.28157,0.34256,0.05709,0.10586,0.24469,0.59795,0.28234,0.29005,0.06012,0.84335,0.70956
40,40,40,40,41.jpg,a male in a green shirt walking down the street',"['men','road','bus','trees','bag','slippers']",0.5,0.42511,0.88497,0.78037,0.06073,0.12324,0.80747,0.96991,0.93989,0.11535,0.23408,0.326,0.04657,0.09451,0.21733,0.55401,0.25654,0.2782,0.19253,0.88465,0.76592
41,41,41,41,42.jpg,a baseball player holding a bat on a field',"['players','bat','ground','ball']",1,0.84725,0.96739,0.94625,0.16945,0.28242,1,1,1,0.2,0.33333,0.84725,0.16945,0.28242,0.42363,0.63212,0.53557,0.57141,0.15275,0.83055,0.71758
42,42,42,42,43.jpg,a large fire hydrant on a truck',"['train','people','road','trees']",0.75,0.46695,0.85872,0.77581,0.09339,0.15565,0.86694,0.97185,0.95352,0.17339,0.28898,0.42365,0.08473,0.14122,0.24209,0.57976,0.29805,0.34535,0.34843,0.86969,0.78281
43,43,43,43,44.jpg,a man in a red jacket is on snow skis.',"['ski','snow','man','montain','hill']",0.6,0.54682,0.90429,0.82983,0.09114,0.16898,0.86513,0.97614,0.95622,0.14419,0.26734,0.4177,0.06962,0.12908,0.26106,0.579,0.3141,0.34144,0.19532,0.86589,0.75134
44,44,44,44,45.jpg,a little girl looking at a pink cake',"['girl','cake']",1,1,1,1,0.33333,0.41421,1,1,1,0.33333,0.41421,1,0.33333,0.41421,0.5,0.63212,0.63212,0.63212,0,0.66667,0.58579
45,45,45,45,46.jpg,a large blue train on a steel track.',"['train','track']",1,0.7893,0.95378,0.92416,0.15786,0.2631,1,1,1,0.2,0.33333,0.7893,0.15786,0.2631,0.39465,0.63212,0.49894,0.54584,0.2107,0.84214,0.7369
46,46,46,46,47.jpg,a woman in a jacket holds food up.',"['women','trees','food']",1,0.74432,0.92884,0.89755,0.18608,0.27244,1,1,1,0.25,0.36603,0.74432,0.18608,0.27244,0.37216,0.63212,0.4705,0.52494,0.25568,0.81392,0.72756
47,47,47,47,48.jpg,a man drives a train down a track.',"['train','track','driver']",1,0.85146,0.9606,0.94284,0.21287,0.31166,1,1,1,0.25,0.36603,0.85146,0.21287,0.31166,0.42573,0.63212,0.53823,0.57321,0.14854,0.78713,0.68834
48,48,48,48,49.jpg,a large boat near a small boat in the ocean.',"['boats','people','oceans']",1,0.78591,0.94155,0.91559,0.19648,0.28766,1,1,1,0.25,0.36603,0.78591,0.19648,0.28766,0.39295,0.63212,0.49679,0.54429,0.21409,0.80352,0.71234
49,49,49,49,50.jpg,a tall man and a short woman posing for a picture.',"['men','woomen','chairs']",1,0.52796,0.85241,0.79152,0.13199,0.19325,1,1,1,0.25,0.36603,0.52796,0.13199,0.19325,0.26398,0.63212,0.33373,0.41019,0.47204,0.86801,0.80675
50,50,50,50,51.jpg,a city street filled with lots of traffic.',"['road','building','flag','cars']",0.75,0.63919,0.91438,0.86141,0.12784,0.21306,0.91951,0.98336,0.97242,0.1839,0.3065,0.53615,0.10723,0.17872,0.30637,0.60128,0.37718,0.415,0.22256,0.84451,0.74085
51,51,51,51,52.jpg,a woman is holding a baby up to something',"['woman','children','man']",1,0.85046,0.96031,0.94243,0.21261,0.31129,1,1,1,0.25,0.36603,0.85046,0.21261,0.31129,0.42523,0.63212,0.53759,0.57278,0.14954,0.78739,0.68871
52,52,52,52,53.jpg,a guy trying to fly a kite outside',"['man','kite','tree','ground']",0.5,0.38485,0.82615,0.72738,0.07697,0.12828,0.78763,0.95338,0.92351,0.15753,0.26254,0.31018,0.06204,0.10339,0.20679,0.54508,0.24409,0.26668,0.21237,0.84247,0.73746
53,53,53,53,54.jpg,a person that is playing in a baseball game.',"['players','ground','bat']",1,0.68882,0.91102,0.87245,0.1722,0.25212,1,1,1,0.25,0.36603,0.68882,0.1722,0.25212,0.34441,0.63212,0.43542,0.49783,0.31118,0.8278,0.74788
54,54,54,54,55.jpg,a car parked on a sidewalk next to a street.',"['cars','street','house','lamp post','lady']",0.6,0.65402,0.93168,0.87703,0.109,0.2021,0.90311,0.98316,0.969,0.15052,0.27908,0.46506,0.07751,0.14371,0.29066,0.59469,0.34971,0.3719,0.14175,0.85696,0.73479
55,55,55,55,56.jpg,a man in a wet suit in windsurfing on water.',"['man','suit','water']",1,1,1,1,0.25,0.36603,1,1,1,0.25,0.36603,1,0.25,0.36603,0.5,0.63212,0.63212,0.63212,0,0.75,0.63397
56,56,56,56,57.jpg,a group of three men sitting on a couch using laptop computers.',"['men','laptop','couch','oven','computers']",0.2,0.00069,0.29714,0.1054,0.00011,0.00021,0.31192,0.82352,0.69767,0.05199,0.09639,0.04662,0.00777,0.01441,0.03885,0.26796,0.04226,0.04555,0.25267,0.87545,0.76906
57,57,57,57,58.jpg,a person in a field of grass with a frisbee',"['people','frisbee','ground','trees']",1,0.80729,0.95809,0.93113,0.16146,0.2691,1,1,1,0.2,0.33333,0.80729,0.16146,0.2691,0.40365,0.63212,0.51031,0.55394,0.19271,0.83854,0.7309
58,58,58,58,59.jpg,a man holding a white and black umbrella in a large parking lot.',"['cars','umbrella','man','roads']",1,0.81038,0.95882,0.93232,0.16208,0.27013,1,1,1,0.2,0.33333,0.81038,0.16208,0.27013,0.40519,0.63212,0.51226,0.55531,0.18962,0.83792,0.72987
59,59,59,59,60.jpg,two kids are standing on skis on a snowy path.',"['kids','snowy','skis']",0.33333,0.0235,0.39153,0.25338,0.00588,0.0086,0.43453,0.8119,0.73706,0.10863,0.15905,0.09548,0.02387,0.03495,0.07161,0.35243,0.08119,0.09106,0.34081,0.8352,0.75872
60,60,60,60,61.jpg,a inflated fire hydrant standing next to cars.',"['women','dog','car','tree']",0.5,0.20364,0.7274,0.58833,0.04073,0.06788,0.67176,0.92351,0.8758,0.13435,0.22392,0.22563,0.04513,0.07521,0.15042,0.48919,0.17756,0.20199,0.32824,0.86565,0.77608
61,61,61,61,62.jpg,an asian man in a tuxedo playing wii',"['man','women','table','wii']",0.75,0.75206,0.94461,0.90939,0.15041,0.25069,0.94798,0.98937,0.98235,0.1896,0.31599,0.60569,0.12114,0.2019,0.34611,0.61248,0.42611,0.4543,0.14809,0.82962,0.71603
62,62,62,62,63.jpg,a man is walking while pulling a wagon',"['man','wagon','cars','bush','trees']",0.4,0.59316,0.91663,0.85095,0.09886,0.1833,0.88219,0.97933,0.96201,0.14703,0.27261,0.32459,0.0541,0.1003,0.23185,0.58612,0.26752,0.27717,0.08017,0.8467,0.71576
63,63,63,63,64.jpg,a little girl holding a teddy bear in a field',"['girl','teddy bear','bush']",0.66667,0.51522,0.84723,0.78448,0.12881,0.18859,0.86298,0.96383,0.94749,0.21574,0.31587,0.42846,0.10711,0.15683,0.25707,0.5781,0.31272,0.34849,0.25527,0.81382,0.72741
64,64,64,64,65.jpg,a man and women riding a moto cylce down a high way.',"['men','women','motorcycle','road']",0.75,0.62286,0.90966,0.85401,0.12457,0.20762,0.91506,0.9824,0.97084,0.18301,0.30502,0.52584,0.10517,0.17528,0.30048,0.59951,0.36993,0.40894,0.2338,0.84676,0.7446
65,65,65,65,66.jpg,a person is riding a snowboard in the snow.',"['man','ski','snow']",1,0.88376,0.96958,0.95578,0.22094,0.32348,1,1,1,0.25,0.36603,0.88376,0.22094,0.32348,0.44188,0.63212,0.55864,0.58678,0.11624,0.77906,0.67652
66,66,66,66,67.jpg,a man looking at another man in the water.',"['men','river','building']",1,0.71815,0.92056,0.88587,0.17954,0.26286,1,1,1,0.25,0.36603,0.71815,0.17954,0.26286,0.35908,0.63212,0.45396,0.51235,0.28185,0.82046,0.73714
67,67,67,67,68.jpg,a couple of people are eating at a table',"['people','food','table','chair','umbrella']",0.4,0.48932,0.8877,0.80182,0.08155,0.15121,0.84237,0.97182,0.94837,0.14039,0.26031,0.30054,0.05009,0.09287,0.21467,0.56931,0.2477,0.25958,0.10806,0.85134,0.72438
68,68,68,68,69.jpg,the front of a crane is lifted off the ground.',"['truck','car','building','road']",0.75,0.57132,0.89408,0.82977,0.11426,0.19044,0.90036,0.97923,0.96562,0.18007,0.30012,0.49286,0.09857,0.16429,0.28163,0.59358,0.34673,0.38912,0.27013,0.85403,0.75671
69,69,69,69,70.jpg,a woman is in action on the tennis court.',"['woman','racket','ground','ball']",1,0.7219,0.93691,0.89707,0.14438,0.24063,1,1,1,0.2,0.33333,0.7219,0.14438,0.24063,0.36095,0.63212,0.45633,0.51417,0.2781,0.85562,0.75937
70,70,70,70,71.jpg,a large white truck on a grass field.',"['bus','cars','tent','field']",0.75,0.68739,0.92777,0.88254,0.13748,0.22913,0.93213,0.98604,0.97684,0.18643,0.31071,0.56619,0.11324,0.18873,0.32354,0.60628,0.39832,0.43232,0.19011,0.83802,0.73004
71,71,71,71,72.jpg,a man is home napping on the couch',"['man','cat','sofa']",0.66667,0.8244,0.95287,0.93176,0.2061,0.30175,0.958,0.98933,0.98442,0.2395,0.35065,0.58614,0.14653,0.21454,0.35168,0.61634,0.42781,0.44353,0.08224,0.77056,0.66408
72,72,72,72,73.jpg,two men who are standing in the snow.',"['people','ski','snow','building']",0.25,0.37369,0.8213,0.72028,0.07474,0.12456,0.83147,0.96376,0.94033,0.16629,0.27716,0.19546,0.03909,0.06515,0.15637,0.56459,0.17295,0.17755,0.05967,0.81193,0.68656
73,73,73,73,74.jpg,a woman holding an umbrella in her hand.',"['women','umbrella','grass','road']",0.75,0.6755,0.92454,0.87742,0.1351,0.22517,0.92908,0.9854,0.97578,0.18582,0.30969,0.55883,0.11177,0.18628,0.31933,0.60508,0.39314,0.42812,0.19802,0.8396,0.73267
74,74,74,74,75.jpg,a woman with red hair sits at a table in front of a cake.',"['women','people','cake','knife','wine','chair']",0.83333,0.79141,0.96713,0.93443,0.11306,0.22943,0.96803,0.99537,0.99063,0.13829,0.28063,0.68573,0.09796,0.19879,0.37404,0.62017,0.46526,0.49628,0.14995,0.87856,0.75357
75,75,75,75,76.jpg,three double-decker buses are parked in a field.',"['buses','trees','ground']",0.66667,0.27333,0.72306,0.62204,0.06833,0.10005,0.74958,0.93048,0.89987,0.1874,0.27437,0.28078,0.0702,0.10277,0.16847,0.52744,0.20494,0.24481,0.43812,0.85953,0.79434
76,76,76,76,77.jpg,a close up of a person holding a slice of pizza',"['pizza','person','slice']",1,1,1,1,0.25,0.36603,1,1,1,0.25,0.36603,1,0.25,0.36603,0.5,0.63212,0.63212,0.63212,−6E−08,0.75,0.63397
77,77,77,77,78.jpg,a man with dark shades takes a picture on his phone.',"['man','mobile','watch','people']",0.75,0.74258,0.94221,0.90555,0.14852,0.24753,0.94572,0.9889,0.98157,0.18914,0.31524,0.59995,0.11999,0.19998,0.34283,0.6116,0.42207,0.45116,0.15415,0.83083,0.71805
78,78,78,78,79.jpg,a woman in a suit and tie in a bedroom',"['women','tie','bed','suit']",1,0.91304,0.98197,0.97013,0.18261,0.30435,1,1,1,0.2,0.33333,0.91304,0.18261,0.30435,0.45652,0.63212,0.57715,0.5987,0.08696,0.81739,0.69565
79,79,79,79,80.jpg,a man riding a bike down a sidewalk in front of a girl flying a kite.',"['women','kite','bike','ground','house','tree']",1,0.85107,0.97723,0.95433,0.12158,0.24672,1,1,1,0.14286,0.2899,0.85107,0.12158,0.24672,0.42553,0.63212,0.53798,0.57304,0.14893,0.87842,0.75328
80,80,80,80,81.jpg,a person sitting at a table with some food.',"['person','food','glass','menu']",0.75,0.83436,0.96443,0.94142,0.16687,0.27812,0.96662,0.99323,0.98875,0.19332,0.32221,0.65475,0.13095,0.21825,0.37415,0.61963,0.46063,0.48043,0.09684,0.81937,0.69895
81,81,81,81,82.jpg,a group of girls playing soccer outside on a sunny day.',"['girls','field','balls','trees']",0.75,0.50894,0.87364,0.7984,0.10179,0.16965,0.88105,0.97499,0.95866,0.17621,0.29368,0.45192,0.09038,0.15064,0.25824,0.58565,0.31793,0.36359,0.31609,0.86322,0.77203
82,82,82,82,83.jpg,photo of an outside place that is incredibly dazzling.',"['people','road','building']",0.66667,0.37758,0.78389,0.70013,0.0944,0.1382,0.80538,0.94733,0.92384,0.20135,0.29479,0.34827,0.08707,0.12748,0.20896,0.55308,0.25419,0.29409,0.35136,0.83784,0.76258
83,83,83,83,84.jpg,a tennis player is looking up to the sky.',"['player','people','racquet']",1,0.74666,0.92957,0.89859,0.18666,0.2733,1,1,1,0.25,0.36603,0.74666,0.18666,0.2733,0.37333,0.63212,0.47198,0.52605,0.25334,0.81334,0.7267
84,84,84,84,85.jpg,"a man, woman and their dog ride a boat along a river next to a forest.'","['man','woman','boat','lake','forest','dog']",1,0.98083,0.99724,0.9944,0.14012,0.28434,1,1,1,0.14286,0.2899,0.98083,0.14012,0.28434,0.49041,0.63212,0.62,0.625,0.01917,0.85988,0.71566
85,85,85,85,86.jpg,a motorcycle parked in front of an outdoor area.',"['bike','trees','women']",1,0.64728,0.89696,0.85281,0.16182,0.23692,1,1,1,0.25,0.36603,0.64728,0.16182,0.23692,0.32364,0.63212,0.40916,0.47653,0.35272,0.83818,0.76308
86,86,86,86,87.jpg,the girraffs are walking past the palm trees.',"['giraffe','trees']",0.5,0.23402,0.61624,0.54794,0.07801,0.09693,0.69552,0.88601,0.86037,0.23184,0.2881,0.24188,0.08063,0.10019,0.16125,0.50119,0.19034,0.21485,0.30448,0.76816,0.7119
87,87,87,87,88.jpg,a person with a plate of food on the table',"['man','food','table','plate']",1,0.94818,0.98941,0.98242,0.18964,0.31606,1,1,1,0.2,0.33333,0.94818,0.18964,0.31606,0.47409,0.63212,0.59936,0.61255,0.05182,0.81036,0.68394
88,88,88,88,89.jpg,a group of older men play a game outdoors.',"['people','bench','building','trees']",0.5,0.20405,0.72769,0.58873,0.04081,0.06802,0.6721,0.92361,0.87595,0.13442,0.22403,0.22586,0.04517,0.07529,0.15057,0.48937,0.17774,0.20217,0.3279,0.86558,0.77597
89,89,89,89,90.jpg,a man seated on a chair holding a laptop',"['man','laptop','table','chair']",0.75,0.93772,0.98722,0.97879,0.18754,0.31257,0.98801,0.99759,0.99599,0.1976,0.32934,0.71469,0.14294,0.23823,0.40839,0.62768,0.50279,0.51065,0.03553,0.80711,0.67851
90,90,90,90,91.jpg,a dirt bike that is sitting in the grass.',"['bike','lady','bush','cars']",0.75,0.6708,0.92325,0.87538,0.13416,0.2236,0.92787,0.98514,0.97535,0.18557,0.30929,0.55591,0.11118,0.1853,0.31766,0.6046,0.39109,0.42645,0.20116,0.84023,0.73372
91,91,91,91,92.jpg,many boats tied to the edge of the bank.',"['boats','lakes','tress']",0.66667,0.21275,0.67915,0.56752,0.05319,0.07787,0.70898,0.91761,0.88172,0.17725,0.25951,0.23758,0.0594,0.08696,0.14255,0.50786,0.17341,0.21147,0.49734,0.87434,0.81601
92,92,92,92,93.jpg,a blue two story bus on a highway.',"['buses','cars','building','roads']",0.75,0.67213,0.92361,0.87596,0.13443,0.22404,0.92821,0.98521,0.97547,0.18564,0.3094,0.55674,0.11135,0.18558,0.31814,0.60474,0.39167,0.42692,0.20027,0.84005,0.73342
93,93,93,93,94.jpg,a man is going down a hill on a snowboard',"['man','ski','snow','trees']",0.75,0.75107,0.94436,0.90899,0.15021,0.25036,0.94774,0.98932,0.98227,0.18955,0.31591,0.60509,0.12102,0.2017,0.34577,0.61238,0.42569,0.45398,0.14872,0.82974,0.71624
94,94,94,94,95.jpg,a person that is wearing glasses and a tie.',"['person','glass','tie','door']",0.5,0.60053,0.90304,0.84368,0.12011,0.20018,0.88031,0.97483,0.9584,0.17606,0.29344,0.38747,0.07749,0.12916,0.25831,0.58534,0.30492,0.32123,0.11969,0.82394,0.70656
95,95,95,95,96.jpg,a pair of men in coat and tie shaking hands',"['men','flag']",1,0.44712,0.76467,0.71648,0.14904,0.1852,1,1,1,0.33333,0.41421,0.44712,0.14904,0.1852,0.22356,0.63212,0.28264,0.36053,0.55288,0.85096,0.8148
