Images,Captions,Objects,HSF,SF_1,SF_2,SF_3,SF_4
39.jpg,'a man laying on a bed next to a remote.',"['man','remote','bed']",1,,,,
40.jpg,'a man is looking at himself in a mirror.',"['man','mirror','brush','tree','boy']",0.5,,,,
41.jpg,'a male in a green shirt walking down the street',"['men','road','bus','trees','bag','slippers']",0.45,,,,
42.jpg,'a baseball player holding a bat on a field',"['players','bat','ground']",0.8,,,,
43.jpg,'a large fire hydrant on a truck',"['train','people','road','trees']",0.7,,,,
44.jpg,'a man in a red jacket is on snow skis.',"['ski','snow','man','montain','hill']",0.75,,,,
45.jpg,'a little girl looking at a pink cake',"['girl','cake']",1,,,,
46.jpg,'a large blue train on a steel track.',"['train','track']",1,,,,
47.jpg,'a woman in a jacket holds food up.',"['women','trees','food']",0.7,,,,
48.jpg,'a man drives a train down a track.',"['train','track','driver']",1,,,,
49.jpg,'a large boat near a small boat in the ocean.',"['boats','people','oceans']",0.85,,,,
50.jpg,'a tall man and a short woman posing for a picture.',"['men','woomen','chairs']",0.7,,,,
51.jpg,'a city street filled with lots of traffic.',"['road','building','flag','cars']",0.5,,,,
52.jpg,'a woman is holding a baby up to something',"['woman','children','man']",0.5,,,,
53.jpg,'a guy trying to fly a kite outside',"['man','kite','tree','ground']",0.5,,,,
54.jpg,'a person that is playing in a baseball game.',"['players','ground']",0.9,,,,
55.jpg,'a car parked on a sidewalk next to a street.',"['cars','street','house','lamp post','lady']",0.5,,,,
56.jpg,'a man in a wet suit in windsurfing on water.',"['man','suit','water']",1,,,,
57.jpg,'a group of three men sitting on a couch using laptop computers.',"['men','laptop','couch','oven','computers']",0.45,,,,
58.jpg,'a person in a field of grass with a frisbee',"['people','frisbee','ground','trees']",0.55,,,,
59.jpg,'a man holding a white and black umbrella in a large parking lot.',"['cars','umbrella','man','roads']",0.5,,,,
60.jpg,'two kids are standing on skis on a snowy path.',"['kids','snowy','skis']",1,,,,
61.jpg,'a inflated fire hydrant standing next to cars.',"['women','dog','car','tree']",0.1,,,,
62.jpg,'an asian man in a tuxedo playing wii',"['man','women','table','wii']",0.7,,,,
63.jpg,'a man is walking while pulling a wagon',"['man','wagon','cars','bush','trees']",0.3,,,,
64.jpg,'a little girl holding a teddy bear in a field',"['girl','teddy bear','bush']",0.9,,,,
65.jpg,'a man and women riding a moto cylce down a high way.',"['men','women','motorcycle','road']",0.85,,,,
66.jpg,'a person is riding a snowboard in the snow.',"['man','ski','snow']",1,,,,
67.jpg,'a man looking at another man in the water.',"['men','river','building']",0.65,,,,
68.jpg,'a couple of people are eating at a table',"['people','food','table','chair','umbrella']",0.35,,,,
69.jpg,'the front of a crane is lifted off the ground.',"['truck','car','building','road']",0.6,,,,
70.jpg,'a woman is in action on the tennis court.',"['woman','racket','ground']",0.7,,,,
71.jpg,'a large white truck on a grass field.',"['bus','cars','tent','field']",0.5,,,,
72.jpg,'a man is home napping on the couch',"['man','cat','sofa']",0.8,,,,
73.jpg,'two men who are standing in the snow.',"['people','ski','snow','building']",0.5,,,,
74.jpg,'a woman holding an umbrella in her hand.',"['women','umbrella','grass','road']",0.65,,,,
75.jpg,'a woman with red hair sits at a table in front of a cake.',"['women','people','cake','knife','wine','chair']",0.2,,,,
76.jpg,'three double-decker buses are parked in a field.',"['buses','trees','ground']",0.55,,,,
77.jpg,'a close up of a person holding a slice of pizza',"['pizza','person']",1,,,,
78.jpg,'a man with dark shades takes a picture on his phone.',"['man','mobile','watch','people']",0.6,,,,
79.jpg,'a woman in a suit and tie in a bedroom',"['women','tie','bed']",0.8,,,,
80.jpg,'a man riding a bike down a sidewalk in front of a girl flying a kite.',"['women','kite','bike','ground','house','tree']",0.75,,,,
81.jpg,'a person sitting at a table with some food.',"['person','food','glass','menu']",0.75,,,,
82.jpg,'a group of girls playing soccer outside on a sunny day.',"['girls','field','balls','trees']",0.8,,,,
83.jpg,'photo of an outside place that is incredibly dazzling.',"['people','road','building']",0.1,,,,
84.jpg,'a tennis player is looking up to the sky.',"['player','people','racquet']",0.75,,,,
85.jpg,"'a man, woman and their dog ride a boat along a river next to a forest.'","['man','woman','boat','lake','forest']",1,,,,
86.jpg,'a motorcycle parked in front of an outdoor area.',"['bike','trees','women']",0.65,,,,
87.jpg,'the girraffs are walking past the palm trees.',"['giraffe','trees']",1,,,,
88.jpg,'a person with a plate of food on the table',"['man','food','table']",1,,,,
89.jpg,'a group of older men play a game outdoors.',"['people','bench','building','trees']",0.45,,,,
90.jpg,'a man seated on a chair holding a laptop',"['man','laptop','table','chair']",0.75,,,,
91.jpg,'a dirt bike that is sitting in the grass.',"['bike','lady','bush','cars']",0.65,,,,
92.jpg,'many boats tied to the edge of the bank.',"['boats','lakes','tress']",0.5,,,,
93.jpg,'a blue two story bus on a highway.',"['buses','cars','building','roads']",0.55,,,,
94.jpg,'a man is going down a hill on a snowboard',"['man','ski','snow','trees']",0.85,,,,
95.jpg,'a person that is wearing glasses and a tie.',"['person','glass','tie','door']",0.9,,,,
96.jpg,'a pair of men in coat and tie shaking hands',"['men','flag']",0.45,,,,
97.jpg,'a person is skiing down a snow covered path.',"['person','ski','snow','trees']",0.75,,,,
98.jpg,'a group of people that are sitting at a table.',"['people','table','glass','bowl','spoon']",0.5,,,,
99.jpg,'some players in action on the baseball field.',"['players','bat','ground','people']",0.9,,,,
100.jpg,'a surfer in blue trunks is surfing on a white board',"['surfer','board','water']",1,,,,
